Over the past 6 months, to what extent: Have you walked or exercised outdoors in your neighborhood?|active lifestyle
Over the past 6 months, to what extent: Have you gone to parks for picnics, walks, or other outings?|active lifestyle
# Feet walked in 2 minutes|physical capacity
# Feet walked in 6 minutes|physical capacity
The total number of steps a person takes in a defined period.|physical capacity
Why do you feel you aren't getting enough exercise?|active lifestyle
Presence of atrial fibrillation or atrial flutter during exercise?|physical capacity
The number of half sit-ups performed in one minute|physical capacity
Exercise Peak diastolic blood pressure|physical capacity
Walking on a level at your own pace|physical capacity
Does your health now limit you in terms of moderate activities such as moving a table, pushing a vacuum cleaner, bowling or playing golf?|physical capacity
Does your health now limit you in these activities: Walking more than a mile|physical capacity
ALS (F1195): Does your health now limit you in: Walking more than a mile? ----- FA (F1195): Does your health now limit you in: Walking more than a mile? ----- GENERAL (F1195): Does your health now limit you in: Walking more than a mile? ----- HD (F1195): Does your health now limit you in: Walking more than a mile? ----- HEADACHE (F1195): Does your health now limit you in: Walking more than a mile? ----- MG (F1195): Does your health now limit you in: Walking more than a mile? ----- MS (F1195): Does your health now limit you in: Walking more than a mile? ----- NMD (F1195): Does your health now limit you in: Walking more than a mile? ----- PD (F1195): Does your health now limit you in: Walking more than a mile? ----- SMA (F1195): Does your health now limit you in: Walking more than a mile? ----- STROKE (F1195): Does your health now limit you in: Walking more than a mile? ----- TBI (F1195): Does your health now limit you in: Walking more than a mile?|physical capacity
Does your health now limit you in these activities: Walking one hundred yards|physical capacity
Does your health now limit you in these activities: Walking several hundred yards|physical capacity
Walking up a hill|physical capacity
By yourself and without using any special equipment, how much difficulty do you have doing chores around the house [like vacuuming, sweeping, dusting or straightening up]?|physical capacity
By yourself and without using any special equipment, how much difficulty do you have pushing or puling large objects like a living room chair?|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty:1. using your usual technique for playing your instrument or sport?|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty:2. playing your musical instrument or sport because of arm, shoulder or hand pain?|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty:3. playing your musical instrument or sport as well as you would like?|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty:4. spending your usual amount of time practising or playing your instrument or sport?|physical capacity
Today, how concerned are you about: moving around (walking, climbing stairs, lifting, etc)?|physical capacity
During the past 4 weeks, how much did physical health problems limit your usual physical activities (such as walking or climbing stairs)?|physical capacity
I have difficulty walking.|physical capacity
I have difficulty walking and/or moving around.|physical capacity
I have difficulty doing physical activities such as running and playing sports.|physical capacity
Mobility: I have no problems in walking about|physical capacity
I have some problems in walking about|physical capacity
Over the last 3 days did you have trouble climbing stairs or inclines or walking off the curb?|physical capacity
Over the last 3 days did you avoid walking, have trouble walking, or walk more slowly than other people your age?|physical capacity
Ability to do sports|physical capacity
Does patient have an exercise intolerance|physical capacity
Do you have difficulty doing any of these activities?|physical capacity
To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair?|physical capacity
Climbing several flights of stairs|physical capacity
I have trouble walking|physical capacity
I have trouble walking|physical capacity
During the 4 weeks before the injury, how often did they have problems with participating in sports activity or exercise?|physical capacity
In the past month, how often did you have problems with participating in sports activity or exercise?|physical capacity
Have you had difficulty standing from a seated position or walking up stairs?|physical capacity
Walking more than a mile|active lifestyle
Walking several blocks|active lifestyle
Walking one block|active lifestyle
Distance walked|active lifestyle
Final partial lap distance|active lifestyle
Total number of yards walked in 6 minutes|physical capacity
Total distance walked in 6 minutes (Number of laps X 60 meters + Final partial lap distance)|physical capacity
How much time did you {usually} spend on {one of those days/that day} doing moderate physical activities in your free time?|active lifestyle
Moderate Exercise Average Hours per Week|active lifestyle
On those days that you engage in moderate to strenuous exercise, how many minutes, on average, do you exercise at this level?|active lifestyle
Time usually spent on vigorous physical activity in a day?|active lifestyle
How much time did you {usually} spend on {one of those days/that day} doing vigorous physical activities in your free time?|active lifestyle
In the past year, on average, how many hours per day did you spend in each of the following activities?|active lifestyle
How long did that walk take/On average, how long did those walks take?|active lifestyle
Other Activities Hours per Day|active lifestyle
Minutes Spent/Activity|active lifestyle
Time usually spent on walking in a day?|active lifestyle
Walking time|active lifestyle
Walk Time:|active lifestyle
Time spent exercising/playing sports with household children|active lifestyle
Number of hours of exercise per week|active lifestyle
Walk or Bike To/From Work (Min/Day)|active lifestyle
On average, over the previous year, how much time did you spend walking or bicycling?|active lifestyle
Time spent exercising with pets|active lifestyle
Time spent in sports and exercise as part of job|active lifestyle
Time spent on specific recreational/leisure sports and exercise (e.g., biking, walking, aerobics, basketball)|active lifestyle
On average, how many hours per week do you exercise?|active lifestyle
Total exercise duration (seconds):|active lifestyle
Frequency and length of physical education classes|active lifestyle
End of Test Dyspnea (from Borg scale)|physical capacity
How often did you have enough energy to exercise strenuously|physical capacity
I have a lot of energy for running or sports|physical capacity
How much of the time can you keep up with others of your age when taking part in sports or games, running soccer, baseball, biking, etc.?|physical capacity
End of Test Fatigue (from Borg scale)|physical capacity
Exercise brings on my fatigue.|physical capacity
I do some light or moderate physical activities, but not every week.|active lifestyle
In the past 7 days, how many times did you do that [if needed, say "walk for at least 10 minutes to get some place."]|active lifestyle
Frequency of physical activity (60 minutes+/day)|active lifestyle
In the past 7 days, how many times did you do that? [If needed, say "walk for at least 10 minutes for fun, relaxation, exercise, or to walk the dog."]|active lifestyle
How often do you play or exercise enough to make you sweat and breathe hard?|active lifestyle
Frequency of light and vigorous physical activity|active lifestyle
Days Per Week of Moderate Physical Activities?|active lifestyle
Frequency of sustained (30 minutes or more), moderate exercise (number of days)|active lifestyle
Moderate Exercise Average Months per Year|active lifestyle
How many days a week of moderate to strenuous exercise, like a brisk walk, do you typically do?|active lifestyle
Frequency of moderate- and vigorous-intensity physical activity|active lifestyle
Days Per Week of Vigorous Physical Activities?|active lifestyle
Frequency of vigorous physical activity|active lifestyle
Frequency of sustained (20 minutes or more), vigorous exercise (number of days)|active lifestyle
Other Activities Days per Week|active lifestyle
Days Per Week of Walking?|active lifestyle
Frequency of physical activity in past 7 days|active lifestyle
Frequency of exercise each week|active lifestyle
