id,variable descriptions
phv00045182.v1 , Marked response to levodopa therapy: 0 = Absent; 1 = Present; U = Unavailable 
phv00103094.v1 , Slow-release diltiazem 
phv00045123.v1 , How old were you when you first found out drinking had given you any of these health problems?  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00033720.v1 ," Macular edema (ETDRS at entry) (0=no, 1=yes) "
phv00086391.v2 , CAN YOU COUNT ON ANYONE TO PROVIDE YOU WITH EMOTIONAL SUPPORT? 
phv00010353.v3 , CORONARY BYPASS SURGERY 
phv00104458.v1 , Slow-release verapamil 
phv00162791.v1 , WISDM Cognitive Enhancement Subscale (Mean) 
phv00171087.v1 , The yes/no indicator related to the additional administration of chemotherapy after the return of a disease after a period of remission.(public CDE id 2650626) 
phv00045047.v1 ," Have you accidentally injured yourself when you were drinking that is, had a bad fall or cut yourself badly, been hurt in a traffic accident, or anything like that: How old were you the first time?  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. "
phv00050556.v1 , B2f. Health care delivery. Podiatrist: ever seen 
phv00165232.v1 ," Baseline CABG status [ 0=No, 1=Yes] "
phv00063584.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00156728.v2 , Intertrochanteric section modulus 
phv00096484.v1 , DO OTHER SPORTS/EXERCISES         Q16 
phv00029044.v1 , MDI  - previous day: type of insulin - beef or pork 
phv00028756.v1 , Photocoagulation in right eye 
phv00049124.v1 , F7e2. Diabetes management: adjust usual regimen: food intake 
phv00050599.v1 ," B6g2. Health care delivery. Doctor who usually taken care of your diabetes, surgeon: paid by insurance "
phv00056869.v1 , Form and revision 
phv00114455.v2 ," DURATION OF BCP USE: EX-USERS, YEARS "
phv00021079.v4 , HEART VALVULAR SURGERY SEE NOTE BELOW 
phv00064178.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00011633.v1 , B2. How many times have you been in a hospital overnight including surgery? (# OF TIMES). Description of problem. (Participants with European ancestry). DIGS2 
phv00096084.v1 , PERIOD FOR SHOT(S): HORMONE 2       Q32B 
phv00051443.v1 , C4d. Nature of event. Was the patient treated within a health care facility: other 
phv00003284.v1 , ASSIST FROM THERAPY PROGRAM 
phv00171146.v1 ," The weight, in grams, of the tissue sample when it was received(public CDE id 2673869) "
phv00099597.v1 , Slow-release CCBs = NIFSR or DIHSR or VE 
phv00045284.v1 , The presence or absence of hypertension in the subjects themselves as documented based on clinician interview (see phs000004: NINDS Repository Neurologically Normal Control Collection). 
phv00027187.v1 , Effect of tests and procedures on your participation: skin biopsies (if performed) 
phv00087186.v1 , CURRENTLY USING HORMONE REPLACEMENT THERAPY 
phv00173748.v1 , Codes for procedures/tests performed 
phv00112066.v1 , LEFT COMMON CAROTID EDGE DETECTED FAR WALL STD DEV 
phv00090218.v1 , Total Primary Decayed Surfaces 
phv00070692.v1 ," DURING THE PAST YEAR, HOW OFTEN HAVE YOU PARTICIPATED IN THE FOLLOWING LEISURE TIME ACTIVITIES? --WALKING FOR EXERCISE "
