id,Source,Questionaire name,Website/Source,Variable/Variable Question,Activity,Environment,Physical Function,Other Keyword,Comments,PAQ = physical activity questionnaire,
236,,,,"During the past 7 days, did you engage in caring for another person such as a child, dependent spouse, or another adult?",,,,,although indirectly relaged I would consider NA,exclude,
237,,,,"During the past 7 days, did you work for pay or as a volunteer?",,,,,although indirectly related I would consider NA,exclude,
238,,,,How many hours per week did you work for pay and/or as a volunteer?,,,,,although indirectly related I would consider NA,exclude,
61,,Project Walk Exercise and Health Survey San Diego State University Surbey #1,http://www.drjamessallis.sdsu.edu/Documents/walkexerciseandhealthsurvey.pdf,What is your main form of transportation? (if more than one specify),,,,,maybe NA,exclude,
296,,,,When I don't exercise I feel guilty.,,feel guilty,,exercise,new category,exclude,
297,,,,"I sometimes feel like I don't want to exercise, but I go ahead and push myself anyway.   ",,push myself,,exercise,new category,exclude,
299,,,,"When I miss an exercise session, I feel concerned about my body possibly getting out of shape. ",,concerned about body getting out of shape,,exercise,new category,exclude,
301,,,,"If I miss a planned workout, I attempt to make up for it the next day.",workout,,,,new category,exclude,
302,,,,I may miss a day of exercise for no good reason.,exercise,,,,new category,exclude,
303,,,,"Sometimes, I feel a need to exercise twice in one day, even though I may feel a little tired.    ",,feel a need to exercise,,exercise,new category,exclude,
304,,,,"If I feel I have overeaten, I will try to make up for it by increasing the amount I exercise.    ",exercise,,,,new category,exclude,
305,,,,"When I miss a scheduled exercise session I may feel tense, irritable or depressed.         ",,"feel tense, irritable or depressed",,exercise,new category,exclude,
306,,,,"Sometimes, I find that my mind wanders to thoughts about exercising.",exercising,,,,new category,exclude,
307,,,,I have had daydreams about exercising.,exercising,,,,new category,exclude,
308,,,,"I keep a record of my exercise performance, such as how long I work out, how far or fast I run.",exercise; run,,,,new category,exclude,
309,,,,I have experienced a feeling of euphoria or a ÒhighÓ during or after an exercise session.       ,,feeling euphoria,,exercise,new category,exclude,
310,,,,I frequently Òpush myself to the limits.Ó,,push myself,,,new category,exclude,
311,,,,"I have exercised when advised against such activity (i.e. by a doctor, friend, etc.) ",exercise,,,,new category,exclude,
76,,,,"For each situation, give me a number between 1 and 5 that describes how s.u.r.e. you are that you can walk for exercise. (1) means I'm sure I cannot, and (5) means I'm sure I can. You can use any number in between; I can set aside at least 10 minutes, 3 days a week, for regular walking for exercise ",walk; exercise,,,,this is tricky - seems environment but no environment keyword,exclude,
278,,,,Do you usually feel motivated to exercise?,,feel motivated,,exercise,tricky,exclude,
280,,,,Do you enjoy exercise?,exercise,,,,tricky,exclude,
279,,,,Are you too tired to exercise?,,too tired,,exercise,tricky ,exclude,
285,,,,I'm in too much pain to exercise,,,pain,exercise,tricky - could be barriers,exclude,
266,,,,"Were you sick last week, or did anything prevent you from doing your normal physical activities?",,sick; prevent you from doing ,,normal physical activity,tricky- function? Environment?,exclude,
166,,,,"Please indicate how much time on a typical WEEK DAY your child does the following activities, when he/she is mostly sitting, and not moving around; Sitting at work (if child has a job) ",,sitting at work,,,trickyÉ can be an environment?,exclude,
141,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉNo other children walk or bike to this park ,,no other children walk or bike to this park,,bike; walk; park,no clean cut keyword,,
142,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ  It's not considered cool to walk or bike ,,its not considered cool to walk or bike,,bike; walk; park,no clean cut keyword,,
144,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ  It is easier for me to drive my child here on the way to something else ,,easier for me to drive my child here on the way to something else ,,bike; walk; park,no clean cut keyword,,
145,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ   It involves too much planning ahead ,,involves too much planning ahead,,bike; walk; park,no clean cut keyword,,
288,,,,I don't have anyone to exercise with,,don't have anyone to exercise with,,exercise,no clean keyword,,
300,,,,If I have planned to exercise at a particular time and somethingunexpected comes up (like an old friend comes to visit or I have some work to do that needs immediate attention) I will usually skip my exercise for that day.,,something unexpected comes up; some work to do,,exercise,no clean keyword,,
