ID,Source,Questionaire name,Website/Source,Variable/Variable Question,Activity,Environment,Physical Function,Other Keyword,Comments,PAQ = physical activity questionnaire
724,,Active Australia Physical Activity Survey (AAS),http://www.alswh.org.au/Surveys_data/Surveys/6MF%20MAIN%20Survey%201.pdf,"The following questions are about activities you might do during a typical day. Does YOUR HEALTH NOW LIMIT YOU in these activities? If so, how much? Walking MORE THAN ONE kilometer:",,,HEALTH,"activities, Walking",,
725,,,,"The following questions are about activities you might do during a typical day. Does YOUR HEALTH NOW LIMIT YOU in these activities? If so, how much? Walking HALF a kilometre:",,,HEALTH,"activities, Walking",,
726,,,,"The following questions are about activities you might do during a typical day. Does YOUR HEALTH NOW LIMIT YOU in these activities? If so, how much?  Walking 100 metres",,,HEALTH,"activities, Walking",,
727,,,,"How many times did you do each type of activity LAST WEEK? Walking briskly (for recreation or exercise, or to get from place to place)"," Walking briskly, exercise",,,,,
728,,,,In the last month HAVE YOU HAD ANY DIFFICULTY walking inside the house,,,HAD ANY DIFFICULTY,walking,,
729,,,,In the last month have you needed HELP FROM ANOTHER PERSON walking inside the house?,,HELP FROM ANOTHER PERSON,,walking,,
730,,Women's Health Initiative Physical Activity Questions,http://appliedresearch.cancer.gov/paq/q103.html,Think about the walking you do outside the home. How often do you walk outside the home for more than 10 minutes without stopping?,"Walking, walk",,,,,
731,,,,"When you walk outside the home for more than 10 minutes without stopping, for how many minutes do you usually walk?",walk,,,,,
732,,,,What is your usual speed?,speed,,,,,
733,,,,"Not including walking outside the home, how often each week (7 days) do you usually do the exercises below; STRENUOUS OR VERY HARD EXERCISE (You work up a sweat and your heart beats fast.) For example, aerobics, aerobic dancing, jogging, tennis, swimming laps.","EXERCISE, aerobics, aerobic dancing, jogging, tennis, swimming laps.",,,"sweat, heart beats",,
734,,,,"Not including walking outside the home, how often each week (7 days) do you usually do the exercises below; STRENUOUS OR VERY HARD EXERCISE (You work up a sweat and your heart beats fast.) For example, aerobics, aerobic dancing, jogging, tennis, swimming laps. How long do you usually exercise like this at one time?"," exercise, aerobics, aerobic dancing, jogging, tennis, swimming laps",,,,,
735,,,,"Not including walking outside the home, how often each week (7 days) do you usually do the exercises below; MODERATE EXERCISE (Not exhausting). For example, biking outdoors, using an exercise machine (like stationary bike or treadmill), calisthenics, easy swimming, popular or folk dancing.",,,,,,
736,,,,"Not including walking outside the home, how often each week (7 days) do you usually do the exercises below; MODERATE EXERCISE (Not exhausting). For example, biking outdoors, using an exercise machine (like stationary bike or treadmill), calisthenics, easy swimming, popular or folk dancing. How long do you usually exercise like this at one time?","EXERCISE, biking outdoors, using an exercise machine, stationary bike, treadmill, calisthenics, swimming, folk dancing",,,,,
737,,,,"Not including walking outside the home, how often each week (7 days) do you usually do the exercises below; MILD EXERCISE. For example, slow dancing, bowling, golf","exercise, slow dancing, bowling, golf",,,,,
738,,,,"Not including walking outside the home, how often each week (7 days) do you usually do the exercises below; MILD EXERCISE. For example, slow dancing, bowling, golf; How long do you usually exercise like this at one time?","exercise,  slow dancing, bowling, golf",,,,,
