ID,Source,Questionaire name,Website/Source,Variable/Variable Question,Activity,Environment,Physical Function,Other Keyword,Comments,PAQ = physical activity questionnaire,
313,World Health Organization(WHO),Global Physical Activity Questionaire (GPAQ),http://www.who.int/chp/steps/resources/GPAQ_Analysis_Guide.pdf,"Does your work involve vigorous-intensity activity that causes large increases in breathing or heart rate like [carrying or lifting heavy loads, digging or construction work] for at least 10 minutes continuously?",,work,,"carrying or lifting heavy loads, digging, or construction work",can be either enviro or activity,,
314,,,,"In a typical week, on how many days do you do vigorous-intensity activities as part of your work?",vigorous-intensity activities,,,work,,,
315,,,,How much time do you spend doing vigorous-intensity activities at work on a typical day?,vigorous-intensity activities,,,,,,
316,,,,"Does your work involve moderate-intensity activity, that causes small increases in breathing or heart rate such as brisk walking [or carrying light loads] for at least 10 minutes continuously?",,,heart rate,brisk walking or carrying light loads,,,
317,,,,"In a typical week, on how many days do you do moderate-intensity activities as part of your work?",moderate - intensity work,,,,,,
318,,,,Do you walk or use a bicycle (pedal cycle) for at least 10 minutes continuously to get to and from places?,walk or bicycle,,,,,,
319,,,,"In a typical week, on how many days do you walk or bicycle for at least 10 minutes continuously to get to and from places?",walk or bicycle,,,,,,
320,,,,How much time do you spend walking or bicycling for travel on a typical day?,walk or bicycle,,,,,,
321,,,,"Do you do any vigorous-intensity sports, fitness or recreational (leisure) activities that cause large increases in breathing or heart rate like [running or football] for at least 10 minutes continuously?",vigorous-intensity activities,,,"running, football",,,
322,,,,"In a typical week, on how many days do you do vigorous-intensity sports, fitness or recreational (leisure) activities?",vigorous-intensity activities,,,"sports, fitness, recreational(leisure) activities",,,
323,,,,"How much time do you spend doing vigorous-intensity sports, fitness or recreational activities on a typical day?",vigorous-intensity activities,,,"sports, fitness, recreational(leisure) activities",,,
324,,,,"Do you do any moderate-intensity sports, fitness or recreational (leisure) activities that cause a small increase in breathing or heart rate such as brisk walking, [cycling, swimming, volleyball] for at least 10 minutes continuously?",,,,,physical function?,,
325,,,,"In a typical week, on how many days do you do moderate-intensity sports, fitness or recreational (leisure) activities?",moderate-intensity acitivies,,,"sports, fitness, recreational(leisure) activities",,,
326,,,,"How much time do you spend doing moderate-intensity sports, fitness or recreational (leisure) activities on a typical day?",moderate-intensity acitivies,,,"sports, fitness, recreational(leisure) activities",,,
327,,,,How much time do you usually spend sitting or reclining on a typical day?,,,,,?,,
328,National Cancer Institute,Ainsworth New PAQ and PA Log,http://appliedresearch.cancer.gov/paq/q001.html,"Last week did you walk continuously for at least 10 min for recreation, exercise or to get to and from places?",walking,,,,,,
329,Physical Activity Questionnarie Database,,http://appliedresearch.cancer.gov/paq/search.php?Mode[]=*&Interval[]=*,How many days last week did you spend walking each day?,walking,,,,,,
330,,,,"On average, how many total minutes did you spend walking each day?",wakling,,,,,,
331,,,,"Did you do this activity today : Walk to work, school, shopping?",walking,,,"to work, school, shopping",,,
332,,,,"How long did you do this activity today: walk to work, school, shopping?",walking,,,"to work, school, shopping",,,
333,,,,"Did you do this activity today: bicycle to work, school, shopping?",bicycling,,,"to work, school, shopping",,,
334,,,,"How long did you do this activity today: bicycle to work, school, shopping?",bicycling,,,"to work, school, shopping",,,
335,,,,Did you do this activity today: walking at work?,walking,,,work,,,
336,,,,How long did you do this activity today: walking at work?,walking,,,work,,,
337,,,,Did you do this activity today: walking for exercise?,walking,,,exercise,,,
338,,,,How long: did you do this activity today: walking for exercise?,walking,,,exercise,,,
339,,,,Did you do this activity today: bicycling?,bicycling,,,,,,
340,,,,How long did you do this activity today: bicycling?,bicycling,,,,,,
341,,,,Did you do this activity today: walking for pleasure or social?,walking ,,,,,,
342,,,,How Long: did you do this activity today: walking for pleasure or social?,walking,,,,,,
343,,Allied Dunbar Survey of Activity and Health,http://appliedresearch.cancer.gov/paq/q002.html,Did you do any walks of 2 miles or more (at least 40 minutes) in the past 4 weeks?,walking,,,,,,
344,,,,"During the past 4 weeks, how many times did you do any long walks of 2 miles or more?",wakling,,,,,,
345,,,,"During the last week, how many times did you do any long walks of 2 miles or more?",walking,,,,,,
346,,,,How long did you spend walking on the most recent occasion you did a walk of 2 miles or more?,walking,,,,,,
347,,,,"During the last week, did you do any walks between 1 and 2 miles (walking about 20 to 30 min)?",walking,,,,,,
348,,,,"During the past week, how many times did you do any long walks between 1 and 2 miles (walking about 20 to 30 min)?",walking,,,,,,
349,,,,"Yesterday, how many times did you do any long walks between 1 and 2 miles (walking about 20 to 30 min)?",walking,,,,,,
350,,,,"In the last week, have you done any shorter walks which lasted at least 5 minutes?",walking,,,,,,
351,,,,"During the time from when you left school up to the present, have you, at any time, walked for 2 miles or more on a regular basis, for a period of at least 2 years?",walking,,,,,,
352,,,,About how many years total did you walked for 2 miles or more on a regular basis?,walking,,,,,,
353,,Arizona Activity Frequency Questionnaire,http://appliedresearch.cancer.gov/paq/q003.html,Did you do it in the last 4 weeks: walking upstairs or using a stair climber?,walking,,,"upstairs, stair climber",,,
354,,,,How many times did you do it in the last 4 weeks: walking upstairs or using a stair climber?,walking,,,"upstairs, stair climber",,,
355,,,,"Did you do it in the last 4 weeks:Walk, include on a treadmill and walking to the store?",walking,,,"treadmill, to a store",,,
