id,,Source,Variable,Keywords,Comments,context,intensity,activity type,measure,
20,,Chronic Illness Resources Survey,"Over the past 6 months, to what extent: Have you walked or exercised outdoors in your neighborhood?",walk; exercise; outdoor,,active life,,fitness,"""to what extent""",
22,,Chronic Illness Resources Survey,"Over the past 6 months, to what extent: Have you gone to parks for picnics, walks, or other outings?",walk; gone to park for picnics; outings,,active life,,leisure,"""to what extent""",
199,caDSR,caDSR,# Feet walked in 2 minutes,walked,,functional status,2 min,walking,# feet,
200,caDSR,caDSR,# Feet walked in 6 minutes,walked,,functional status,6 min,walking,# feet,
201,caDSR,caDSR,The total number of steps a person takes in a defined period.,steps,,functional status,,walking,# of steps,
98,caDSR,caDSR,Why do you feel you aren't getting enough exercise?,exercise,,fitness,,exercise,adequacy,
109,caDSR,caDSR,Presence of atrial fibrillation or atrial flutter during exercise?,exercise,,stress test,,exercise,atrial fibrillation; atrial flutter,
302,PhenX,,The number of half sit-ups performed in one minute,half sit-ups; minute; integrated fitness; adult,,stress test,,half sit-ups; minute; integrated fitness; adult,count,
117,caDSR,caDSR,Exercise Peak diastolic blood pressure,exercise,,stress test,,exercise,DBP,
202,caDSR,caDSR,Walking on a level at your own pace,walking,,functional status,a level,walking,difficulty,
113,caDSR,caDSR,"Does your health now limit you in terms of moderate activities such as moving a table, pushing a vacuum cleaner, bowling or playing golf?",Moderate activities; moving a table; pushing a vacuum cleaner; bowling; playing golf,,functional status,moderate,moving a table; pushing a vacuum cleaner; bowling; playing golf,difficulty,
60,,Short Form 36,Does your health now limit you in these activities: Walking more than a mile,walking more than a mile,,functional status,more than a mile,walking,difficulty,
225,PDBP,36-item Short Form Health Survey (SF-36) - health limited walking miles score,ALS (F1195): Does your health now limit you in: Walking more than a mile? ----- FA (F1195): Does your health now limit you in: Walking more than a mile? ----- GENERAL (F1195): Does your health now limit you in: Walking more than a mile? ----- HD (F1195): Does your health now limit you in: Walking more than a mile? ----- HEADACHE (F1195): Does your health now limit you in: Walking more than a mile? ----- MG (F1195): Does your health now limit you in: Walking more than a mile? ----- MS (F1195): Does your health now limit you in: Walking more than a mile? ----- NMD (F1195): Does your health now limit you in: Walking more than a mile? ----- PD (F1195): Does your health now limit you in: Walking more than a mile? ----- SMA (F1195): Does your health now limit you in: Walking more than a mile? ----- STROKE (F1195): Does your health now limit you in: Walking more than a mile? ----- TBI (F1195): Does your health now limit you in: Walking more than a mile?,walking,,functional status,more than a mile,walking,difficulty,
62,,Short Form 36,Does your health now limit you in these activities: Walking one hundred yards,walking one hundred yards,,functional status,one hundred yard,walking,difficulty,
61,,Short Form 36,Does your health now limit you in these activities: Walking several hundred yards,walking several hundred yards,,functional status,several hundred yards,walking,difficulty,
203,caDSR,caDSR,Walking up a hill,walking up a hill,,functional status,uphill,walking,difficulty,
344,PhenX,,"By yourself and without using any special equipment, how much difficulty do you have doing chores around the house [like vacuuming, sweeping, dusting or straightening up]?",chores; vacuuming; sweeping; dusting; straightening up,,functional status,,chores; vacuuming; sweeping; dusting; straightening up,difficulty,
351,PhenX,,"By yourself and without using any special equipment, how much difficulty do you have pushing or puling large objects like a living room chair?",pushing or puling large objects like a living room chair?,,functional status,,pushing pulling large objects,difficulty,
88,REDCap,"The DASH: Disabilities of the Arm, Shoulder and Hand","Please circle the number that best describes your physical ability in the past week. Did you have any difficulty:1. using your usual technique for playing your
instrument or sport?",sport; playing your instrument,,functional status,,playing instrument; sports,difficulty,
89,REDCap,"The DASH: Disabilities of the Arm, Shoulder and Hand","Please circle the number that best describes your physical ability in the past week. Did you have any difficulty:2. playing your musical instrument or sport because
of arm, shoulder or hand pain?",sport; playing your instrument,,functional status,,sport; playing your instrument,difficulty,
90,REDCap,"The DASH: Disabilities of the Arm, Shoulder and Hand","Please circle the number that best describes your physical ability in the past week. Did you have any difficulty:3. playing your musical instrument or sport
as well as you would like?",sport; playing your instrument,,functional status,,sport; playing your instrument,difficulty,
91,REDCap,"The DASH: Disabilities of the Arm, Shoulder and Hand","Please circle the number that best describes your physical ability in the past week. Did you have any difficulty:4. spending your usual amount of time
practising or playing your instrument or sport?",sport; playing your instrument,,functional status,,sport; playing your instrument,difficulty,
